regime,InvestmentGrade,Government_Long,TIPS_Short,TIPS_Long,Cash/Short,HighYield,Gold,FX/Currency
Crisis,0.18054313990860688,0.25010421539840266,0.020344631233206133,0.03238015045129639,0.41259613142582846,0.01094131148607888,0.0452404546963883,0.047849965400192374
Neutral,0.38095262707736127,0.26472547444703914,0.0017863277224321537,0.0011908851482881028,0.183411948898647,0.11629563914081752,0.017144672018548555,0.03449242554686626
Risk-Off,0.25958758025863765,0.28919346679826136,0.005694527776203839,0.008759268954747674,0.3340841570946763,0.03892533728024956,0.027563652512717144,0.036192009324506454
Risk-On,0.4235413902893162,0.18398267450910324,0.000362771907163371,0.00024184793810891404,0.10949680882372272,0.23327813088199428,0.015168903523101209,0.033927472127490164
