,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown,Avg Drawdown,Max DD Duration (months)
Rule-Based,0.058878405372678286,0.031091926976268565,1.8936878829548975,-0.1009636843436123,-0.015541760769876883,44.0
SAA Benchmark,0.051822249140231993,0.04849624577123336,1.0685826978172304,-0.16226939729370607,-0.02582008669800832,37.0
